id,tag_ids/id
"l10n_ch.ch_coa_2270","l10n_ch_account_tags.account_tag_ch_220"
"l10n_ch.ch_coa_2279","l10n_ch_account_tags.account_tag_ch_220"
"l10n_ch.ch_coa_2300","l10n_ch_account_tags.account_tag_ch_230"
"l10n_ch.ch_coa_2301","l10n_ch_account_tags.account_tag_ch_230"
"l10n_ch.ch_coa_2330","l10n_ch_account_tags.account_tag_ch_230"
"l10n_ch.ch_coa_2400","l10n_ch_account_tags.account_tag_ch_240"
"l10n_ch.ch_coa_2420","l10n_ch_account_tags.account_tag_ch_240"
"l10n_ch.ch_coa_2430","l10n_ch_account_tags.account_tag_ch_240"
"l10n_ch.ch_coa_2450","l10n_ch_account_tags.account_tag_ch_240"
"l10n_ch.ch_coa_2451","l10n_ch_account_tags.account_tag_ch_240"
"l10n_ch.ch_coa_2500","l10n_ch_account_tags.account_tag_ch_250"
"l10n_ch.ch_coa_2600","l10n_ch_account_tags.account_tag_ch_260"
"l10n_ch.ch_coa_2800","l10n_ch_account_tags.account_tag_ch_280"
"l10n_ch.ch_coa_2900","l10n_ch_account_tags.account_tag_ch_290"
"l10n_ch.ch_coa_2940","l10n_ch_account_tags.account_tag_ch_290"
"l10n_ch.ch_coa_2950","l10n_ch_account_tags.account_tag_ch_290"
"l10n_ch.ch_coa_2960","l10n_ch_account_tags.account_tag_ch_290"
"l10n_ch.ch_coa_2970","l10n_ch_account_tags.account_tag_ch_290"
"l10n_ch.ch_coa_2979","l10n_ch_account_tags.account_tag_ch_297"
"l10n_ch.ch_coa_2980","l10n_ch_account_tags.account_tag_ch_290"
"l10n_ch.ch_coa_3000","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3009","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3200","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3400","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3600","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3700","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3710","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3800","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3801","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3802","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3803","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3804","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3805","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3806","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3807","l10n_ch_account_tags.account_tag_ch_30"
"l10n_ch.ch_coa_3900","l10n_ch_account_tags.account_tag_ch_39"
"l10n_ch.ch_coa_3901","l10n_ch_account_tags.account_tag_ch_39"
"l10n_ch.ch_coa_3940","l10n_ch_account_tags.account_tag_ch_39"
"l10n_ch.ch_coa_4000","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4008","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4009","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4070","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4071","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4072","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4080","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4086","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4092","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4200","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4400","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4500","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4510","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4520","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4521","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4530","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4540","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4800","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4801","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4900","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4901","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4903","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_4906","l10n_ch_account_tags.account_tag_ch_4"
"l10n_ch.ch_coa_5000","l10n_ch_account_tags.account_tag_ch_5"
"l10n_ch.ch_coa_5700","l10n_ch_account_tags.account_tag_ch_5"
"l10n_ch.ch_coa_5800","l10n_ch_account_tags.account_tag_ch_5"
"l10n_ch.ch_coa_5900","l10n_ch_account_tags.account_tag_ch_5"
"l10n_ch.ch_coa_6000","l10n_ch_account_tags.account_tag_ch_60"
"l10n_ch.ch_coa_6100","l10n_ch_account_tags.account_tag_ch_60"
"l10n_ch.ch_coa_6105","l10n_ch_account_tags.account_tag_ch_60"
"l10n_ch.ch_coa_6200","l10n_ch_account_tags.account_tag_ch_60"
"l10n_ch.ch_coa_6260","l10n_ch_account_tags.account_tag_ch_60"
"l10n_ch.ch_coa_6300","l10n_ch_account_tags.account_tag_ch_60"
"l10n_ch.ch_coa_6400","l10n_ch_account_tags.account_tag_ch_60"
"l10n_ch.ch_coa_6500","l10n_ch_account_tags.account_tag_ch_60"
"l10n_ch.ch_coa_6570","l10n_ch_account_tags.account_tag_ch_60"
"l10n_ch.ch_coa_6600","l10n_ch_account_tags.account_tag_ch_60"
"l10n_ch.ch_coa_6700","l10n_ch_account_tags.account_tag_ch_60"
"l10n_ch.ch_coa_6800","l10n_ch_account_tags.account_tag_ch_68"
"l10n_ch.ch_coa_6900","l10n_ch_account_tags.account_tag_ch_69"
"l10n_ch.ch_coa_6950","l10n_ch_account_tags.account_tag_ch_69"
"l10n_ch.ch_coa_7000","l10n_ch_account_tags.account_tag_ch_7"
"l10n_ch.ch_coa_7010","l10n_ch_account_tags.account_tag_ch_7"
"l10n_ch.ch_coa_7500","l10n_ch_account_tags.account_tag_ch_7"
"l10n_ch.ch_coa_7510","l10n_ch_account_tags.account_tag_ch_7"
"l10n_ch.ch_coa_8000","l10n_ch_account_tags.account_tag_ch_80"
"l10n_ch.ch_coa_8100","l10n_ch_account_tags.account_tag_ch_80"
"l10n_ch.ch_coa_8500","l10n_ch_account_tags.account_tag_ch_85"
"l10n_ch.ch_coa_8510","l10n_ch_account_tags.account_tag_ch_85"
"l10n_ch.ch_coa_8900","l10n_ch_account_tags.account_tag_ch_89"
